date,biz_name,total_count,push_rate,violation_rate,review_count,reject_count,error_value,base_status,source_file,day,biz_group,push_rate_pct,violation_rate_pct,total_7d_avg,push_rate_7d_avg,violation_rate_7d_avg,review_7d_avg,total_vs_7d_pct,push_vs_7d_pct,vio_vs_7d_pct
2026-03-22,steam头像封面,12460.0,0.260513643659711,,3246.0,56.0,,✓,表2_steam头像封面.xlsx,2026-03-22,Steam,26.051364365971104,,13012.42857142857,0.20339285598919227,,2644.8571428571427,-0.04245391768309413,0.28083969514422863,
2026-03-23,steam头像封面,34883.0,0.28853596307657,,10065.0,233.0,,✓,表2_steam头像封面.xlsx,2026-03-23,Steam,28.853596307656996,,16124.857142857143,0.214144961020726,,3683.714285714286,1.163305987206974,0.3473861897158722,
2026-03-24,steam头像封面,50249.0,0.247049692531195,0.00951262711695755,12414.0,478.0,,✓,表2_steam头像封面.xlsx,2026-03-24,Steam,24.7049692531195,0.951262711695755,21266.85714285714,0.218090377336126,0.00951262711695755,5010.285714285715,1.3627844802106566,0.13278584570669172,0.0
2026-03-12,steam成就标题简介,168.0,0.0119047619047619,0.0,34.0,0.0,0.0,🔴,表1_steam成就标题简介.xlsx,2026-03-12,Steam,1.19047619047619,0.0,168.0,0.0119047619047619,0.0,34.0,0.0,0.0,
2026-03-13,steam成就标题简介,502.0,0.0199203187250996,0.0,92.0,0.0,0.0,🔴,表1_steam成就标题简介.xlsx,2026-03-13,Steam,1.9920318725099602,0.0,335.0,0.01591254031493075,0.0,63.0,0.49850746268656715,0.25186289120715366,
2026-03-14,steam成就标题简介,357.0,0.00560224089635854,0.0,52.0,0.0,0.0,🔴,表1_steam成就标题简介.xlsx,2026-03-14,Steam,0.560224089635854,0.0,342.3333333333333,0.012475773842073346,0.0,59.333333333333336,0.0428432327166505,-0.550950428624674,
2026-03-15,steam成就标题简介,222.0,0.027027027027027,0.0,58.0,0.0,0.0,🔴,表1_steam成就标题简介.xlsx,2026-03-15,Steam,2.7027027027027,0.0,312.25,0.01611358713831176,0.0,59.0,-0.289031224979984,0.6772818364426988,
2026-03-05,steam昵称简介,14881.0,0.0309119010819165,0.0139775552718231,4242.0,208.0,-56.0,⚠️,表1_steam昵称简介.xlsx,2026-03-05,Steam,3.09119010819165,1.3977555271823099,14881.0,0.0309119010819165,0.0139775552718231,4242.0,0.0,0.0,0.0
2026-03-06,steam昵称简介,14969.0,0.0314650277239629,0.012158460819026,4301.0,182.0,1040.0,⚠️,表1_steam昵称简介.xlsx,2026-03-06,Steam,3.1465027723962904,1.2158460819026,14925.0,0.0311884644029397,0.013068008045424549,4271.5,0.002948073701842546,0.008867487589325937,-0.06960106109798468
2026-03-07,steam昵称简介,15751.0,0.0343470255856771,0.0116183099485747,4534.0,183.0,1104.0,⚠️,表1_steam昵称简介.xlsx,2026-03-07,Steam,3.43470255856771,1.16183099485747,15200.333333333334,0.03224131813051884,0.0125847753464746,4359.0,0.03622727571763773,0.0653108364439062,-0.07679639654200408
2026-03-08,steam昵称简介,16463.0,0.0301281661908522,0.0112373200510235,4622.0,185.0,1236.0,⚠️,表1_steam昵称简介.xlsx,2026-03-08,Steam,3.01281661908522,1.12373200510235,15516.0,0.03171303014560217,0.012247911522611826,4424.75,0.06103377159061614,-0.04997516627939619,-0.08251133017433983
